name,cmd_vx,cmd_vy,cmd_wz,cmd_xy_speed,envs,duration_s,warmup_s,reset_events_per_env,ever_reset_frac,max_xy_err,max_yaw_err,vx,vy,wz,abs_vx_err,abs_vy_err,xy_err,yaw_err,along,orth_abs,base_height,tilt,action_abs,torque_abs,reward,speed_ratio,score_tracking
diag_br_1.0,-0.7071067811865476,-0.7071067811865476,0.0,1.0000000000000002,4,1.0,0.2,0.0,0.0,1.1125110387802124,0.24282364547252655,-0.3139632225036621,-0.11674822568893432,-0.10417667627334595,0.3931435585021973,0.5903586387634278,0.7100224018096923,0.10877039432525634,0.30455904006958007,0.13945213556289673,0.664984130859375,0.07009357213973999,0.18528671264648439,5.643594741821289,0.04435417056083679,0.30455904006958,0.12696405818266868
yaw_l_0.5,0.0,0.0,0.5,0.0,4,1.0,0.2,0.0,0.0,0.34590333700180054,0.2226220667362213,0.0070269756019115445,0.15003523826599122,0.45874338150024413,0.025613969564437865,0.15153021812438966,0.15993838310241698,0.06157791614532471,0.0,0.0,0.6704002857208252,0.05766632556915283,0.15913965702056884,4.680320358276367,0.06733668446540833,,0.8891507328444921
yaw_l_1.0,0.0,0.0,1.0,0.0,4,1.0,0.2,0.0,0.0,0.33374032378196716,0.4250088930130005,0.02333197295665741,0.1285804271697998,0.8072907447814941,0.043112778663635255,0.1420886993408203,0.16102883815765381,0.19270933866500856,0.0,0.0,0.6714237689971924,0.058139306306838986,0.1664516806602478,4.8567852020263675,0.06528713703155517,,0.7770359175821412
yaw_r_0.5,0.0,0.0,-0.5,0.0,4,1.0,0.2,0.0,0.0,0.3664712905883789,0.487689733505249,-0.09979429244995117,0.1619986891746521,-0.4171637535095215,0.09979429244995117,0.1619986891746521,0.2074838399887085,0.11958621740341187,0.0,0.0,0.664885139465332,0.07096990942955017,0.16375834941864015,5.541006469726563,0.06376529335975648,,0.795009170640673
yaw_r_1.0,0.0,0.0,-1.0,0.0,4,1.0,0.2,0.0,0.0,0.364236056804657,0.9392184019088745,-0.09860112071037293,0.1628764033317566,-0.7424420356750489,0.09860112071037293,0.1628764033317566,0.21044020652770995,0.26253480911254884,0.0,0.0,0.6656702518463135,0.06602869629859924,0.17122474908828736,5.42187728881836,0.06193500757217407,,0.635820857397863
fwd0.6_yaw_l0.5,0.6,0.0,0.5,0.6,4,1.0,0.2,0.0,0.0,0.6329470872879028,0.3101081848144531,0.23652369976043702,0.15933849811553955,0.4082061290740967,0.36347620487213134,0.1593935251235962,0.40352940559387207,0.10869858264923096,0.23652369976043702,0.1593935251235962,0.6671628475189209,0.07783614993095397,0.1570871114730835,6.003253173828125,0.055763572454452515,0.3942061662673951,0.4972782988315648
fwd0.6_yaw_r0.5,0.6,0.0,-0.5,0.6,4,1.0,0.2,0.0,0.0,0.6973283886909485,0.6315109133720398,0.12544629573822022,0.19126224517822266,-0.40689821243286134,0.47455382347106934,0.19126224517822266,0.5165341377258301,0.17152762413024902,0.12544629573822022,0.19126224517822266,0.6637938499450684,0.0867968499660492,0.16599366664886475,6.745832824707032,0.04998101592063904,0.20907715956370038,0.30577156815506623
left0.6_yaw_l0.5,0.0,0.6,0.5,0.6,4,1.0,0.2,0.0,0.0,0.42747288942337036,0.2348853349685669,0.006482485681772232,0.33098251819610597,0.48029203414916993,0.014313159883022309,0.26901745796203613,0.26977317333221434,0.10231579542160034,0.33098251819610597,0.014313159883022309,0.6660185813903808,0.051885151863098146,0.19634755849838256,4.900996398925781,0.06324816346168519,0.5516375303268433,0.7167814130087597
right0.6_yaw_r0.5,0.0,-0.6,-0.5,0.6,4,1.0,0.2,0.0,0.0,0.8599170446395874,0.43842923641204834,-0.08379257321357728,-0.04233192801475525,-0.4414177894592285,0.08379257321357728,0.5576679229736328,0.5659262657165527,0.0990330457687378,0.04233192801475525,0.08379257321357728,0.6646194934844971,0.0657186210155487,0.17971123456954957,5.0368091583251955,0.05499287247657776,0.07055321335792542,0.26704974434458434
diag_fl0.7_yaw_l0.5,0.5,0.5,0.5,0.7071067811865476,4,1.0,0.2,0.0,0.0,0.6057128310203552,0.3173707127571106,0.20483086109161378,0.28471534252166747,0.4195070266723633,0.2951690196990967,0.2152845859527588,0.3777946949005127,0.12308239936828613,0.3461615562438965,0.0969618797302246,0.6633799552917481,0.06889173984527588,0.17595138549804687,5.817298507690429,0.05695415735244751,0.4895463676122953,0.5317868998301032
diag_br0.7_yaw_r0.5,-0.5,-0.5,-0.5,0.7071067811865476,4,1.0,0.2,0.0,0.0,0.8387285470962524,0.3166843354701996,-0.311033296585083,-0.026878371834754944,-0.5004898071289062,0.18896665573120117,0.47312164306640625,0.5120429992675781,0.07765926718711853,0.23893969058990477,0.20092790126800536,0.6631949424743653,0.06896201968193054,0.18328837156295777,5.580417251586914,0.05324916243553161,0.3379117510214743,0.3420234491458947
