"主机名","任务名","下次运行时间","模式","登录状态","上次运行时间","上次结果","创建者","要运行的任务","起始于","注释","计划任务状态","空闲时间","电源管理","作为用户运行","删除没有计划的任务","如果运行了 X 小时 X 分钟，停止任务","计划","计划类型","开始时间","开始日期","结束日期","天","月","重复: 每","重复: 截止: 时间","重复: 截止: 持续时间","重复: 如果还在运行，停止"
"DESKTOP-MBKP1TH","\T1DeadlineTraining_20260507_013016","N/A","就绪","交互方式/后台方式","2026/5/7 1:35:00","1","DESKTOP-MBKP1TH\Administrator","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -File C:\tmp\t1_deadline_entry_20260507_013016.ps1","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","1:35:00","2026/5/7","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\T1DeadlineTraining_20260507_013223","N/A","就绪","交互方式/后台方式","2026/5/7 1:37:00","-2147020576","DESKTOP-MBKP1TH\Administrator","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -File C:\tmp\t1_deadline_entry_20260507_013223.ps1","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","1:37:00","2026/5/7","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\T1NoArmPenaltyLogstd17_200_20260507_1857","N/A","就绪","只使用交互方式","2026/5/7 23:59:00","-1073741510","DESKTOP-MBKP1TH\Administrator","wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/run_noarm_penalty_logstd17_200_schtasks_cuda.sh","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/7","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\T1Shoulder4GaitPhaseSoft500","N/A","就绪","只使用交互方式","2026/5/8 23:59:00","0","DESKTOP-MBKP1TH\Administrator","C:\Users\Administrator\Documents\dev\official_baselines\booster_gym_official\artifacts\autoresearch\start_gaitphase500.cmd ","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/8","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\T1Shoulder4GaitPhaseSwing400","N/A","就绪","只使用交互方式","2026/5/8 23:59:00","0","DESKTOP-MBKP1TH\Administrator","C:\Users\Administrator\Documents\dev\official_baselines\booster_gym_official\artifacts\autoresearch\start_gaitphase_swing400.cmd ","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/8","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\T1Shoulder4LateralOutward400_20260510","N/A","就绪","只使用交互方式","2026/5/10 23:59:00","0","DESKTOP-MBKP1TH\Administrator","C:\Windows\System32\wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/run_lateral_outward400_full_auto.sh","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/10","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\T1Shoulder4LateralOutwardAsymRoll400_20260510","N/A","就绪","只使用交互方式","2026/5/10 23:59:00","0","DESKTOP-MBKP1TH\Administrator","C:\Windows\System32\wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/run_lateral_outward_asymroll400_full_auto.sh","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/10","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\T1Shoulder4LateralOutwardLightFoot400_20260510","N/A","就绪","只使用交互方式","2026/5/10 23:59:00","0","DESKTOP-MBKP1TH\Administrator","C:\Windows\System32\wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/run_lateral_outward_lightfoot400_full_auto.sh","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/10","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\T1Shoulder4LateralOutwardNoSwayStatic400_20260510","N/A","就绪","只使用交互方式","2026/5/10 23:59:00","0","DESKTOP-MBKP1TH\Administrator","C:\Windows\System32\wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/run_lateral_outward_nosway_static400_full_auto.sh","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/10","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\T1Shoulder4LateralOutwardSignFix400_20260510","N/A","就绪","只使用交互方式","2026/5/10 23:59:00","0","DESKTOP-MBKP1TH\Administrator","C:\Windows\System32\wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/run_lateral_outward_signfix400_full_auto.sh","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/10","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
