"Timestamp","NvidiaTimestamp","GpuUtilPct","MemUsedMiB","MemTotalMiB","PowerW","TempC"
"2026-05-10T20:38:38.7291263+08:00","2026/05/10 20:38:38.728","42","17134","24564","151.07","58"
"2026-05-10T20:38:44.8746197+08:00","2026/05/10 20:38:44.867","63","17134","24564","152.22","58"
"2026-05-10T20:38:50.6064378+08:00","2026/05/10 20:38:50.604","64","17134","24564","153.06","58"
"2026-05-10T20:38:56.3159472+08:00","2026/05/10 20:38:56.314","64","17134","24564","149.67","58"
"2026-05-10T20:39:02.0427334+08:00","2026/05/10 20:39:02.037","64","17134","24564","150.73","59"
"2026-05-10T20:39:07.8304273+08:00","2026/05/10 20:39:07.827","63","17134","24564","151.19","58"
"2026-05-10T20:39:13.5631911+08:00","2026/05/10 20:39:13.563","46","17134","24564","151.6","57"
"2026-05-10T20:39:19.3142939+08:00","2026/05/10 20:39:19.308","23","17134","24564","153.48","58"
"2026-05-10T20:39:25.0384730+08:00","2026/05/10 20:39:25.033","37","17134","24564","149.62","58"
"2026-05-10T20:39:30.9026506+08:00","2026/05/10 20:39:30.896","78","17134","24564","242.01","60"
"2026-05-10T20:39:36.6536734+08:00","2026/05/10 20:39:36.653","55","17134","24564","153.73","57"
"2026-05-10T20:39:42.4024567+08:00","2026/05/10 20:39:42.397","63","17134","24564","147.74","58"
"2026-05-10T20:39:48.5214503+08:00","2026/05/10 20:39:48.513","62","17134","24564","198.57","58"
"2026-05-10T20:39:54.2252009+08:00","2026/05/10 20:39:54.224","44","17134","24564","148.73","58"
"2026-05-10T20:39:59.9937862+08:00","2026/05/10 20:39:59.993","6","17134","24564","84.32","55"
"2026-05-10T20:40:05.7728576+08:00","2026/05/10 20:40:05.762","10","17134","24564","22.61","51"
"2026-05-10T20:40:11.5154286+08:00","2026/05/10 20:40:11.501","10","17134","24564","20.5","49"
"2026-05-10T20:40:17.3590774+08:00","2026/05/10 20:40:17.351","8","17134","24564","20.55","48"
"2026-05-10T20:40:23.0713983+08:00","2026/05/10 20:40:23.071","10","17134","24564","19.66","47"
